team_id,Jersey Number,Player ID,Name,Image,club,date,match_set
feb41b46-3952-11ef-9df6-af5c55c3771d,4,1237a16c-48ec-11ef-84f3-9dbb61b880c9,Nikolaj Enderleit,https://images.dc.prod.cloud.atriumsports.com/h1s44/04c16b223ebb44bab63d965dcecb24a3,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,73,4fcf4e71-3953-11ef-ad69-a9530db97767,Timo Kastening,https://images.dc.prod.cloud.atriumsports.com/h1s44/3e569d5eb16e4d1c8a9d75fc109dc53a,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,11,511cf534-3953-11ef-8ceb-a9530db97767,Dimitri Ignatow,https://images.dc.prod.cloud.atriumsports.com/h1s44/37e96c6ba9ae458f9c2ff0df0b7abca3,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,24,6e74bb37-48f1-11ef-9949-270cb1769d76,Alexandre Cavalcanti,https://images.dc.prod.cloud.atriumsports.com/h1s44/9d9e48d472ad4f40a089a27c19bb7fe4,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,16,733bc91a-3954-11ef-9c27-bdf3bafad9bd,Nebojsa Simic,https://images.dc.prod.cloud.atriumsports.com/h1s44/3631453289334a39a71a7ff3c4979505,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,83,7ae3cb32-48ec-11ef-9dcd-8938f5d55858,Ian Barrufet,https://images.dc.prod.cloud.atriumsports.com/h1s44/3bb27cc1d7bd44c99b9ae21f6c929144,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,13,c59ebb17-3953-11ef-9aa1-2510cc07ea6e,Rogerio  Moraes Ferreira,https://images.dc.prod.cloud.atriumsports.com/h1s44/8a3f6fedcac74599b8605611ced035ef,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,10,e67d367c-3954-11ef-ae9b-0119270b4993,Dainis Kristopans,https://images.dc.prod.cloud.atriumsports.com/h1s44/65b7b9cf3a94401b882524870f756162,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,21,e7bc2ca4-3954-11ef-907b-0119270b4993,Arnar Freyr Arnarsson,https://images.dc.prod.cloud.atriumsports.com/h1s44/1e56845ff67341e0a2308ba891270869,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
feb41b46-3952-11ef-9df6-af5c55c3771d,7,eeb5fb18-3955-11ef-a189-a32b26a416b7,David Mandic,https://images.dc.prod.cloud.atriumsports.com/h1s44/db9ee650f17c4a6192af9f2e48a15a07,MT Melsungen,2024-09-05 19:00:00,TBV Lemgo Lippe vs MT Melsungen
