name,slug,shortName,position,jerseyNumber,userCount,Player_id,country,marketValueCurrency,dateOfBirthTimestamp,twoMinutePenalties,technicalFaults,yellowCards,gk6mSaves,gk6mShots,shotsTaken,goals,assists,goals7m,goals6m,shots6m,fastbreakGoals,fastbreakShots,steals,blockedShots,goals9m,shots9m,breakthroughGoals,breakthroughShots,fieldTranslations,wingGoals,pivotGoals,pivotShots,firstName,lastName,saves,gkShots,gk7mGoals,gk7mShots,gk7mSaves,gkPivotSaves,gkPivotShots,gk9mSaves,gk9mShots,gkBreakthroughSaves,gkBreakthroughShots,gkFastbreakGoals,gkFastbreakShots,gkWingSaves,gkWingShots,gkGoalsConceded,secondsPlayed,gkFastbreakSaves,shots7m,team_name,team_id,home_score,away_score,start_timestamp,matchid_lineup,MatchTeamGame,gkBackcourtShots,gkBackcourtSaves
Constantin Mostl,mostl-constantin,C. Möstl,G,1,105,1005026,"{'alpha2': 'AT', 'alpha3': 'AUT', 'name': 'Austria'}",EUR,954547200.0,0,0,0,7,19,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,14.0,39.0,1.0,2.0,1.0,3.0,9.0,3.0,7.0,2.0,7.0,2.0,2.0,2.0,5.0,25.0,2881.0,0.0,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Samuel Zehnder,zehnder-samuel,S. Zehnder,LW,4,90,949376,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland'}",EUR,951782400.0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,,,,,,,,,Samuel,Zehnder,,,,,,,,,,,,,,,,,,,3.0,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Niels Versteijnen,versteijnen-niels-gerardus,N. Versteijnen,RB,25,90,992369,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands'}",EUR,949536000.0,0,1,0,0,0,4,2,1,0,2,3,0,0,0,0,,1.0,2.0,2.0,"{'nameTranslation': {'ar': 'فيرستينين, نييلز'}, 'shortNameTranslation': {'ar': 'ن. فيرستينين'}}",,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Leve Carstensen,carstensen-leve,L. Carstensen,LW,21,7,1145746,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1011312000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Ben Connar Battermann,battermann-ben-connar,B. C. Battermann,LB,7,15,1383078,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,1080432000.0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Thomas Houtepen,houtepen-thomas,T. Houtepen,CB,33,21,1386705,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands'}",EUR,1021420800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,3996,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Timo Kastening,kastening-timo,T. Kastening,RW,73,101,806895,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,804038400.0,0,1,0,0,0,5,4,0,0,2,0,0,0,1,0,,,,,"{'nameTranslation': {'ar': 'كاستينغ, تيمو'}, 'shortNameTranslation': {'ar': 'ت. كاستينغ'}}",2.0,1.0,1.0,Timo,Kastening,,,,,,,,,,,,,,,,,,,1.0,Away,4007,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Rogerio Moraes Ferreira,moraes-ferreira-rogerio,R. Moraes,P,13,36,806705,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil'}",EUR,758246400.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,,,,,,,5.0,5.0,Rogeiro,Moraes Ferreira,,,,,,,,,,,,,,,,,,,,Away,4007,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Erik Balenciaga,balenciaga-azcue-erik,E. Balenciaga,CB,6,18,840959,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain'}",EUR,736992000.0,0,1,0,0,0,4,3,2,0,3,4,0,0,0,0,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Away,4007,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Nebojsa Simic,simic-nebojsa,N. Simić,G,16,61,894614,"{'alpha2': 'ME', 'alpha3': 'MNE', 'name': 'Montenegro'}",EUR,727401600.0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,,,,,"{'nameTranslation': {'ar': 'سيميتش, نيبويشا'}, 'shortNameTranslation': {'ar': 'ن. سيميتش'}}",,,,,,10.0,26.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,9.0,,1.0,,1.0,16.0,2754.0,,,Away,4007,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Dimitri Ignatow,ignatow-dimitri,D. Ignatow,RW,11,4,876460,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany'}",EUR,912384000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Away,4007,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Alexandre Cavalcanti,cavalcanti-alexandre,A. Cavalcanti,LB,24,63,959192,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal'}",EUR,851644800.0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,2.0,,,"{'nameTranslation': {'ar': 'كافالكانتي, ألكسندر'}, 'shortNameTranslation': {'ar': 'أ. كافالكانتي'}}",,,,Alexandre,Cavalcanti,,,,,,,,,,,,,,,,,,,,Away,4007,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
Dainis Kristopans,kristopans-dainis,D. Krištopāns,RB,10,193,902836,"{'alpha2': 'LV', 'alpha3': 'LVA', 'name': 'Latvia'}",EUR,654393600.0,0,0,0,0,0,7,5,3,0,3,4,1,1,0,0,1.0,1.0,,,"{'nameTranslation': {'ar': 'كريستوبانس, داينيس'}, 'shortNameTranslation': {'ar': 'د. كريستوبانس'}}",,,1.0,,,,,,,,,,,,,,,,,,,,,,Away,4007,20.0,28.0,2024-09-05 17:00:00,12575506,mt-melsungen-tbv-lemgo,,
